lowerCasing,stop_words,ngram_range,analyzer,max_features,clf_descr,precision,recall,F1_score,train_time,test_time
False,with,"(2, 2)",char_wb,15000,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,5.590637445449829,0.03245115280151367
False,without,"(1, 1)",word,,LinearSVC,0.8437953745969384,0.8325338760356724,0.8333353960618141,5.63938307762146,0.024932861328125
False,without,"(1, 1)",word,5000,LinearSVC,0.7955923119032116,0.786992823091274,0.7868408762820747,3.485079765319824,0.019973278045654297
False,without,"(1, 1)",word,10000,LinearSVC,0.8247555212965155,0.8148650805111304,0.8153508619091673,4.711411714553833,0.03493618965148926
False,without,"(1, 1)",word,15000,LinearSVC,0.8354305628443246,0.8247562267019324,0.8254371161731717,4.794233560562134,0.031916141510009766
False,without,"(1, 2)",word,,LinearSVC,0.8381892510133502,0.827967443143981,0.828738154479562,11.302193641662598,0.10671448707580566
False,without,"(1, 2)",word,5000,LinearSVC,0.7694854712320407,0.7617088854098896,0.7609084773009108,3.579441547393799,0.021969318389892578
False,without,"(1, 2)",word,10000,LinearSVC,0.7952576778809919,0.7867987400069213,0.7864708868387367,5.26993203163147,0.035902976989746094
False,without,"(1, 2)",word,15000,LinearSVC,0.8059653778127164,0.7967242815643394,0.7968081360553422,5.842382907867432,0.05186128616333008
False,without,"(2, 2)",word,,LinearSVC,0.7535423068511786,0.7433217327390857,0.7435793665213917,6.867132663726807,0.0528569221496582
False,without,"(2, 2)",word,5000,LinearSVC,0.5874089687047089,0.5867754291259066,0.5829177961010373,2.1562399864196777,0.009973526000976562
False,without,"(2, 2)",word,10000,LinearSVC,0.6609449694628606,0.65752509636293,0.655792774504199,2.8393781185150146,0.015956640243530273
False,without,"(2, 2)",word,15000,LinearSVC,0.6904309021731773,0.684228171547495,0.6834235965504807,3.1097536087036133,0.017952442169189453
False,without,"(1, 1)",char,,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.5165855884552002,0.0020325183868408203
False,without,"(1, 1)",char,5000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.513624906539917,0.0030248165130615234
False,without,"(1, 1)",char,10000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.6033861637115479,0.002764463424682617
False,without,"(1, 1)",char,15000,LinearSVC,0.1363904061351423,0.1747589971267546,0.13359051504600977,0.5624938011169434,0.0019948482513427734
False,without,"(1, 2)",char,,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,6.55119252204895,0.03291153907775879
False,without,"(1, 2)",char,5000,LinearSVC,0.7157136452937306,0.7097619211252999,0.7056912326675346,5.800882816314697,0.0249326229095459
False,without,"(1, 2)",char,10000,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,6.7423272132873535,0.037925004959106445
False,without,"(1, 2)",char,15000,LinearSVC,0.7206101509084071,0.7137197967104724,0.7093891293611131,6.493957996368408,0.036901235580444336
False,without,"(2, 2)",char,,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,5.9301135540008545,0.04188895225524902
False,without,"(2, 2)",char,5000,LinearSVC,0.7171314160551423,0.7120553128650633,0.7082058570567425,6.4539268016815186,0.026924848556518555
False,without,"(2, 2)",char,10000,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,6.817748308181763,0.05585193634033203
False,without,"(2, 2)",char,15000,LinearSVC,0.7216339768187361,0.7160016616498907,0.7120940352337513,5.826161623001099,0.03789639472961426
False,without,"(1, 1)",char_wb,,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.5116631984710693,0.0019948482513427734
False,without,"(1, 1)",char_wb,5000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.6731657981872559,0.00498652458190918
False,without,"(1, 1)",char_wb,10000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.603416919708252,0.0029921531677246094
False,without,"(1, 1)",char_wb,15000,LinearSVC,0.14298873158233444,0.17606724363996726,0.13489214589729526,0.5287833213806152,0.0020227432250976562
False,without,"(1, 2)",char_wb,,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,6.081862926483154,0.029920101165771484
False,without,"(1, 2)",char_wb,5000,LinearSVC,0.7160360236773233,0.7095641515215992,0.7052528664704347,5.23904824256897,0.02692246437072754
False,without,"(1, 2)",char_wb,10000,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,5.983038425445557,0.03088855743408203
False,without,"(1, 2)",char_wb,15000,LinearSVC,0.7212861618412331,0.7144750692381125,0.7104879488943554,5.944978952407837,0.03391075134277344
False,without,"(2, 2)",char_wb,,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,5.7067811489105225,0.0298917293548584
False,without,"(2, 2)",char_wb,5000,LinearSVC,0.7179339167656836,0.7115147158219611,0.7074435665400853,5.199132442474365,0.025927305221557617
False,without,"(2, 2)",char_wb,10000,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,5.657904863357544,0.0359039306640625
False,without,"(2, 2)",char_wb,15000,LinearSVC,0.7232372502443231,0.7163771729915939,0.7125128782531822,6.276552200317383,0.05282878875732422
